id;name;aliases;abbreviation;company
1;Amiga;Commodore Amiga;AMI;Commodore Electronics Ltd.
3;Game Boy;Gameboy, GB;GB;Nintendo
4;Game Boy Advance;Game Boy Advance SP, Gameboy Advance, GBA, Game Boy Player, GBA SP, Game Boy micro;GBA;Nintendo
5;Game Gear;Sega Game Gear;GG;Sega
6;Genesis;Sega Mega Drive, Sega Genesis, Sega Nomad;GEN;Sega
7;Atari Lynx;Lynx;LYNX;Atari SA
8;Sega Master System;;SMS;Sega
9;Super Nintendo Entertainment System;Super NES, Super Famicom, SFC, SNES;SNES;Nintendo
11;Amstrad CPC;GX4000;CPC;Amstrad
12;Apple II;;APL2;Apple Inc.
13;Atari ST;;AST;Atari SA
14;Commodore 64;C64, c64, C=64;C64;Commodore
15;MSX;MSX 2, MSX II;MSX;ASCII Corporation
16;ZX Spectrum;;SPEC;Sinclair Research Ltd.
17;Mac;Macintosh, OSX, OS X;MAC;Apple Inc.
18;PlayStation Portable;PSP, PSPgo, PSP Go;PSP;Sony Interactive Entertainment
19;PlayStation 2;PS2;PS2;Sony Interactive Entertainment
20;Xbox 360;360, Xenon, x360;X360;Xbox Game Studios
21;Nintendo Entertainment System;Nintendo, Famicom, Family Computer, Control Deck, FC, FDS, NES;NES;Nintendo
22;PlayStation;PS1, PSX, Sony PlayStation, Net Yaroze, PocketStation, PSone;PS1;Sony Interactive Entertainment
23;GameCube;GCN, NGC, GC, Project Dolphin, Panasonic Q, Nintendo GameCube;GCN;Nintendo
24;Atari 8-bit;Atari 800, Atari 400, Atari XL, Atari XE;A800;Atari
25;Neo Geo;AES, MVS, NEO;NEO;SNK
26;3DO;3DO REAL Interactive Multiplayer, R.E.A.L., 3do;3DO;Matsushita Electric Corporation of America (Panasonic)
27;CD-i;Philips CD-i, CDi;CDI;Philips Interactive Media, Inc.
28;Jaguar;Atari Jaguar;JAG;Atari
29;Sega CD;Mega CD;SCD;Sega
30;VIC-20;VIC20, VC 20, VIC-1001, Commodore VIC-20;VC20;Commodore Electronics Ltd.
31;Sega 32X;Sega Super 32x, Sega Genesis 32x, Sega Mega Drive 32x, Project Mars;32X;Sega
32;Xbox;;XBOX;Xbox Game Studios
34;N-Gage;N-Gage QD, Nokia n85, n85, Nokia Download Service;NGE;Nokia
35;PlayStation 3;PS3;PS3;Sony Interactive Entertainment
