id;game;name
1;2981;ダイナマイ・トレーサー
2;2479;Hi-Res Adventure #1: Mystery House
3;;Dune II: Battle for Arrakis
4;1986;T4C
5;;逆転検事
6;1460;おいでよロコロコ！！
7;;カオス レギオン
8;2328;マリオパーティ 2
9;;グランツーリスモ 5
10;;ポケットモンスター エメラルド
11;1439;ファイアーエムブレム 烈火の剣
12;4816;ドカポンキングダム
13;;S ファイアーエムブレム　アカネイア戦記
14;;BOF4
15;;Rockman 3 Dr. Wily no Saigo!?
16;1732;スーパーアドベンチャーロックマン
18;;シェンムー
19;234;Guild Wars Prophecies
20;1731;Rockman Battle & Chase
21;;Langrisser
22;;Rockman X
23;1483;沙羅曼蛇2
24;1484;グラディウス外伝
25;;ポケットモンスタープラチナ
26;;Sonikku Batoru
27;4201;TMNT: Mutant Melee
28;4606;タイガーヘリ
29;1482;ネメシスII
31;1481;グラディウスIII 伝説から神話ヘ
32;1498;フロントミッション
33;;Carmageddon 4
34;1485;ソーラーアサルト
35;;ドンキーコング リターンズ
36;1504;フロントミッション 2089
37;;Rockman X6
38;;LBP 2
39;1774;ロックマンエグゼ オペレート シューティングスター
40;1211;テイルズ オブ グレイセス
41;;Rockman DASH Hagane no Bōkenshin
42;;Rockman Zero
43;;Okami
44;;Ōga Batoru Rokujūyon Pāson obu rōdorī Kyaribā
45;;バーチャファイターMini
46;1526;救急救命 カドゥケウス2
47;3435;64 Trump Collection - Alices Exciting Trip to Trump World
48;6601;Sonikku Pinbōru Pātī
49;;Batman of the Future: Return of the Joker
50;3433;64大相撲
51;;Rockman ZX Advent
52;;ドンキーコング
53;;GRAW 2
54;2329;マリオパーティ 3
55;;Super Pitfall II
56;;Rockman 7 Shukumei no Taiketsu!
57;6252;WWF Raw
58;4615;グーニーズ Gūnīzu
59;;Rockman ZX
60;2832;Bartman Meets Radioactive Man
61;;ポケットモンスター ダイヤモンド・パール
62;;Rockman World
63;1467;罪と罰～地球の継承者～
64;3807;BeyBlade VForce: Super Tournament Battle
65;6602;Supēsu Channeru Faibu
66;;Tron ni Kobun
67;1276;Red Seeds Profile
68;2335;マリオパーティDS
69;;スーパーマリオギャラクシー
70;3434;64 Professional Sumo Wrestling 2
71;3198;シャイニングフォースCD
72;2685;Rock Band
73;958;Master of Olympus - Zeus
74;2669;Guitar Hero 4
75;2641;Atari Classic 80s
77;;Deca Sports Freedom
78;2688;(街へ行こうよ どうぶつの森
79;1750;Rockman X2: Soul Eraser
80;;アルティメット マーヴル VS. カプコン3
81;2473;Aladdin
82;2665;Nerf N-Strike
84;3443;Bakuretsu Muteki Bangaioh
85;5504;TT
86;3730;Sam: Dont Fear The Dark
87;;ゼルダの伝説 トワイライトプリンセス
88;;グランツーリスモ5 プロローグ
89;;MLB 2K10
90;926;UT2003
91;1444;ファイアーエムブレム　新・暗黒竜と光の剣
92;;マリオパーティ 5
93;1456;幻想水滸伝V
94;;UT3
95;1468;Sin and Punishment: Successor of the Skies
97;3810;Jaianto Eggu: Birī Hacchā no Daibouken
98;1165;Meteos Wars
99;;L4D2
100;2684;Mercenaries 2
101;2775;SpongeBob SquarePants: Underpants Slam
102;;Hazard: The Journey of Life
103;;ファイアーエムブレム覚醒
105;1172;黄金の太陽 失われし時代
106;;黄金の太陽 失われし時代
107;;テイルズ オブ レジェンディア
108;;テイルズ オブ ファンタジア
109;2663;Dance on Broadway
110;;テイルズオブハーツ
111;2691;Rock Band 3
112;;テイルズ オブ リバース
113;1999;Aqua Nox The Angels Tears
114;;bf1942
115;;ObsCure: The Aftermath
116;3454;Bust-A-Move 3
117;;マリオパーティ 7
118;;キングダム ハーツ コーデッド
119;;ポケットモンスター 金
120;2558;Dragon Ball: Final Bout
121;;キングダム ハーツ バース バイ スリープ
122;;GTA: CTW
123;;Castlevania: Byakuya no Concerto
124;;Akumajō Dracula X: Chi no Rondo
125;;ポケットモンスター ルビー・サファイア
126;;Devils Castle Dracula Apocalypse
127;1233;ファンタシースター
128;5260;Chin Sports
129;;Devils Castle Dracula: Cross of the Blue Moon
130;2660;Fighters Uncaged
131;1142;Akumajō Dracula Judgment
132;;Tekken Cross Street Fighter
133;;MLB 2K11
134;;鉄拳3D プライムエディション
135;1247;鉄拳6
136;;Castlevania
137;;鉄拳タッグトーナメント
138;;SoF 3
139;1975;エイト・アイズ Eito Aizu
140;2841;The Simpsons Wrestling
141;1238;鉄拳タッグトーナメント2
142;;Circle of the Moon
143;3936;ガチャフォース
144;;Sonikku Adobansu Surī
145;2471;Dave
147;;星のカービィ
148;3453;Bonbāman Hīrō
149;1712;あつまれ!!メイド イン ワリオ
151;2840;Night of the Living Treehouse of Horror
