id;country;description;developed;name;parent;published;start_date
1;840;Electronic Arts Inc. is a leading global interactive entertainment software company. EA delivers games, content and online services for Internet-connected consoles, personal computers, mobile phones and tablets.;{6798, 13838, 43280, 18705, 5396, 5530, 11675, 26013, 5155, 8100, 4394, 12714, 3632, 3633, 48181, 4409, 19772, 5053, 6211, 27075, 113097, 4429, 1621, 5338, 19418, 2656, 120544, 12770, 11235, 3431, 6631, 47463, 4587, 4588, 8813, 12267, 51953, 5363, 2166};Electronic Arts;;{11, 22, 2074, 8224, 28705, 36897, 35, 36, 37, 38, 6182, 12327, 28709, 67631, 49, 50, 51, 28722, 18487, 41015, 45113, 6203, 24635, 45115, 18494, 45116, 2112, 2113, 4160, 2115, 8257, 120900, 8264, 73, 74, 75, 76, 77, 4174, 4175, 78, 4177, 4178, 4176, 6224, 6225, 4182, 87, 8278, 89, 90, 91, 92, 93, 94, 95, 2144, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 2153, 14436, 114795, 2158, 114, 26740, 2166, 14455, 4218, 6268, 125, 24701, 22655, 22656, 22657, 130, 131, 22658, 22659, 24714, 142, 148, 49300, 120981, 41117, 67745, 4258, 2213, 45229, 4274, 6322, 102585, 28859, 20669, 121021, 121022, 121023, 121024, 121025, 121026, 12484, 121027, 2246, 199, 14535, 2249, 2250, 20679, 20680, 205, 18638, 20681, 20682, 20684, 20686, 2259, 212, 213, 2260, 215, 20687, 24786, 78044, 223, 224, 225, 14559, 14561, 14564, 4330, 237, 14573, 125166, 240, 14577, 14579, 245, 10485, 14582, 248, 4345, 14583, 251, 14584, 110840, 14591, 260, 43280, 18705, 78100, 277, 4376, 283, 28955, 51486, 22822, 295, 296, 28966, 4394, 300, 308, 37172, 6454, 80181, 4409, 26941, 4415, 10560, 321, 10561, 8515, 10563, 325, 326, 78153, 330, 4429, 335, 336, 337, 115025, 340, 341, 14676, 343, 8536, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 2398, 2399, 6500, 16742, 47463, 4458, 2416, 86387, 74104, 119161, 2430, 2431, 390, 10632, 72073, 4492, 90509, 18837, 4509, 76190, 123305, 12714, 2482, 22962, 436, 443, 27075, 4549, 117189, 4554, 78288, 14803, 94676, 471, 473, 12770, 6631, 84458, 4587, 4588, 6636, 494, 8692, 10740, 68084, 503, 70136, 23041, 526, 45582, 117267, 119318, 2585, 2586, 2587, 2588, 117276, 6691, 8744, 556, 23091, 18998, 575, 2626, 14915, 585, 586, 117321, 592, 8793, 607, 2656, 82528, 2665, 2666, 8811, 620, 8813, 8265, 4725, 4726, 8266, 8824, 636, 2684, 2685, 78460, 2689, 19074, 648, 649, 650, 6798, 12942, 656, 25230, 660, 2715, 121028, 670, 121504, 2721, 10916, 10917, 4778, 12970, 687, 692, 697, 698, 699, 700, 701, 702, 703, 8893, 705, 706, 707, 8894, 8898, 710, 19135, 715, 719, 720, 721, 10965, 21205, 23253, 4825, 84701, 21214, 8930, 10980, 10981, 10982, 25321, 51953, 759, 23293, 773, 47882, 780, 4877, 782, 783, 121618, 2841, 794, 2842, 796, 2843, 8994, 47908, 84774, 807, 4904, 809, 810, 811, 4905, 4906, 6958, 13098, 19241, 125127, 47922, 6964, 13112, 13113, 13114, 13115, 13116, 13117, 13118, 13119, 13120, 833, 13121, 13122, 13123, 13124, 2886, 13125, 39745, 23369, 13137, 13143, 13144, 13145, 13146, 13147, 13148, 13149, 13150, 863, 864, 9057, 13151, 867, 13152, 869, 2920, 103274, 103276, 4975, 886, 887, 891, 17276, 2946, 899, 900, 903, 904, 906, 70539, 11148, 7056, 48019, 48020, 2965, 58260, 925, 2973, 928, 11170, 934, 935, 7081, 11178, 5035, 5036, 5037, 5038, 7083, 7093, 950, 959, 111552, 3011, 7107, 58310, 7115, 74700, 74701, 5076, 21464, 985, 3033, 19418, 3036, 3037, 3038, 3039, 19422, 21472, 121824, 11235, 996, 997, 66533, 1001, 1002, 9197, 1006, 15344, 23538, 1014, 3063, 23545, 5114, 27654, 15371, 9228, 9229, 1040, 11281, 66577, 3091, 3093, 3094, 3095, 3096, 21527, 1051, 3100, 21535, 1059, 5155, 5156, 5157, 17447, 1064, 5161, 78885, 66604, 21554, 48181, 3126, 17462, 7224, 17464, 17465, 17466, 11327, 3136, 3141, 19525, 5191, 11336, 3145, 3146, 21574, 19536, 3154, 3155, 3156, 3158, 76886, 3171, 5220, 66668, 44151, 3193, 19577, 66694, 85129, 3212, 21647, 21649, 124052, 85152, 3249, 7349, 13493, 13494, 1216, 9409, 21697, 21699, 5330, 5338, 113893, 5363, 1268, 21747, 7414, 27891, 1274, 1275, 1277, 27911, 7433, 27929, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 11556, 25891, 25892, 1322, 1323, 3371, 3374, 5423, 19760, 11571, 11574, 25911, 68940, 68941, 93517, 19794, 23895, 9565, 7518, 66911, 122205, 122206, 3431, 23916, 77210, 85363, 11639, 23929, 7549, 28034, 9613, 71057, 5525, 5526, 9623, 5528, 5529, 66966, 11675, 5532, 5533, 19869, 26013, 5536, 5537, 5538, 5539, 122269, 54696, 9646, 54711, 7617, 30145, 5575, 122317, 19918, 1491, 9684, 1493, 1494, 1495, 1496, 1497, 11734, 7645, 13790, 3553, 13794, 89571, 82118, 13798, 7659, 13808, 5620, 24059, 118274, 30214, 85510, 30219, 13838, 13839, 26126, 7703, 3610, 75297, 67107, 77348, 75301, 85544, 22059, 13871, 3632, 3633, 13874, 36950, 7734, 1596, 13885, 3648, 46658, 26186, 67148, 81484, 67150, 1624, 26201, 52826, 1631, 1632, 18023, 1641, 1642, 1643, 1644, 1645, 3693, 114286, 114287, 5749, 99962, 5756, 5761, 11912, 11913, 20106, 52879, 7840, 22179, 102055, 3752, 102056, 11962, 26298, 20160, 85696, 50885, 122573, 20181, 67286, 20188, 20189, 120544, 3811, 3813, 3814, 5867, 36592, 18161, 22258, 18165, 20220, 20225, 12034, 3851, 3852, 5904, 83728, 71443, 26391, 26398, 26401, 3875, 1828, 26404, 1832, 3886, 55086, 12081, 24373, 36662, 12087, 24377, 3901, 5950, 12093, 22342, 12104, 3919, 4443, 5971, 1876, 10067, 26454, 4444, 1887, 5983, 3942, 3943, 10092, 122737, 116594, 12147, 55155, 1921, 10117, 94085, 3979, 8075, 12173, 28558, 36751, 18320, 3992, 75675, 8100, 10149, 1958, 12205, 24502, 22457, 22458, 1979, 4028, 10173, 4032, 4033, 4041, 4042, 12237, 10207, 20450, 12267, 22509, 40941, 45180, 12278, 20470, 79866};1982-05-28 00:00:00
2;124;BioWare develops high-quality console, PC, and online role-playing games focused on rich stories, unforgettable characters, and vast worlds to discover.    Since 1995, BioWare has created some of the worlds most critically acclaimed titles, including Baldurs Gate™, Neverwinter Nights™, Star Wars ™: Knights of the Old Republic™, Jade Empire™, Mass Effect™, and Dragon Age™.    BioWare operates in Edmonton (Alberta, Canada), Montreal (Quebec, Canada), and Austin (Texas, United States). In 2008, BioWare was acquired by Electronic Arts, a leading global interactive entertainment publisher.    After the retirement of the two remaining BioWare co-founders, Ray Muzyka and Greg Zeschuk, Matthew Bromberg became the current group general manager of the BioWare label.    The BioWare group consists of following studios:    BioWare Edmonton  The original BioWare studio, it is responsible for most of the games released under the BioWare label, including Star Wars: Knights of the Old Republic, and the ongoing Dragon Age series and the original Mass Effect trilogy.    BioWare Montreal  Formed in March 2009 to assist the Edmonton studio as necessary. Lead the development of DLC for the Mass Effect series as well as Mass Effect: Andromeda.    BioWare Austin  Formed in March 2006 specifically to develop Star Wars: The Old Republic (with assistance from BioWare Edmonton). BioWare Austin later began working on a new IP called Shadow Realms, but production was shelved in February 2015 in order to focus on the continuing production of Dragon Age: Inquisition and Star Wars: The Old Republic.;{30208, 5, 6, 27911, 10, 28047, 22552, 21664, 36950, 11571, 22963, 17462, 17464, 17465, 17466, 1596, 19135, 22975, 21697, 73, 74, 75, 76, 78, 81, 82, 25299, 213, 13910, 13911, 216, 217, 218, 7899, 220, 7900, 13784, 13912, 20188, 20189, 124892, 91241, 5867, 103276, 116, 47318, 13690, 78460};BioWare;1;{13784, 22963, 25299, 22975};1995-02-01 00:00:00
3;840;;{1, 2, 70, 647, 714, 715, 9227, 1168, 22, 23, 3352, 12987, 10686};Looking Glass Studios;;{3352, 70};1990-03-31 00:00:00
4;826;;{5770, 5259, 120295, 4223};Eidos Interactive;26;{1, 2, 3, 5634, 5126, 26630, 9230, 36878, 1042, 7186, 69143, 1048, 1049, 1050, 4122, 4634, 90656, 14888, 41, 42, 14889, 558, 4145, 5171, 123455, 8768, 6723, 6213, 23111, 6223, 5714, 6233, 2142, 2143, 4192, 8289, 71780, 5734, 5735, 24170, 78449, 78450, 628, 2681, 6268, 24700, 4222, 4223, 19584, 3201, 3713, 1156, 1157, 1158, 1159, 1161, 1162, 1163, 5259, 653, 5769, 5771, 2192, 5773, 8333, 8340, 18073, 5789, 67752, 124092, 47808, 4801, 1223, 714, 4814, 4309, 7893, 1753, 20700, 20702, 125150, 125151, 4835, 3818, 748, 8941, 3823, 5872, 24818, 243, 24819, 24820, 4355, 72965, 8966, 4871, 5901, 270, 5905, 49425, 275, 8469, 8470, 8471, 20760, 22298, 9507, 7470, 2361, 839, 6985, 54601, 68937, 1870, 5974, 6486, 8027, 11615, 9058, 9059, 47974, 5991, 7018, 879, 6003, 21364, 44915, 3959, 7032, 21370, 1423, 912, 8600, 8601, 5018, 20376, 23451, 27555, 425, 21418, 427, 76714, 3505, 3506, 50613, 21430, 6584, 1982, 961, 8129, 966, 967, 968, 477, 2537, 2542, 500, 5622, 88574};1996-05-31 00:00:00
5;840;Founded in 1983, Interplay Entertainment is a developer, publisher and licensor of video game software headquartered in Southern California.  Interplay originally published successful titles in the Role-Playing Game (RPG) genre, including hits like Fallout® 1 &amp  2, Planescape: Torment and the Baldurs Gate series.  We have produced and licensed titles for many of the most popular interactive entertainment software platforms in the action/arcade, adventure/RPG and strategy/puzzle categories.  Our portfolio of well recognized Intellectual Properties includes Battlechess, Clayfighter, Dark Alliance, Descent, Earthworm Jim, Freespace, Giants, Messiah, MDK, Run Like Hell and Sacrifice amongst others.  We seek to publish or license out interactive entertainment software titles that are, or have the potential to become, franchise software titles that can be leveraged across several releases and/or platforms, and have published or licensed many such successful franchise titles to date.;{15010, 15011, 3460, 3461, 775, 18153, 5391, 15152, 45878, 12509, 253};Interplay Entertainment;;{129, 3460, 5, 6, 775, 3461, 8829, 11780, 51205, 13, 14, 655, 3479, 667, 284, 669, 10911, 6433, 34, 6564, 1959, 9001, 938, 2220, 20654, 50994, 45878, 2615, 19769, 6718, 832, 454, 2503, 93899, 844, 81, 82, 722, 84, 853, 218, 219, 220, 11098, 12509, 71131, 15840, 19425, 2402, 1253, 18153, 91241, 876, 3950, 19566, 753, 626, 45811, 5621, 8565, 18682, 4348, 253};1983-12-31 00:00:00
6;826;;{1921, 5624, 522, 1592, 7658, 3023, 2995, 308, 694, 504, 83837};Lionhead Studios;;;1996-12-31 00:00:00
7;840;Formerly known as EA Redwood Shores.    After the success of Dead Space, the studio was able to move from an internal development studio of EA Games to a separate subsidiary with a focus on third-person action games.    Along with the studios name change two branch studios were created by EA, Visceral Montreal alongside EA Montreal and Visceral Melbourne.    Visceral Melbourne closed in September 2011.  Visceral Montreal closed in February 2013.  Visceral Games closed in October 2017.;{1216, 38, 18023, 1832, 7081, 6958, 75120, 21747, 20440, 985, 10173};Visceral Games;1;;2009-05-04 00:00:00
8;840;2K Games is the main publishing company for Take-Two Interactive, created the day after they acquired the rights for the 2K sports series from Sega along with the purchase of the companies Visual Concepts and Kush Games.    Almost all development studios owned by Take-Two are listed as subsidiaries through 2K Games, or its publishing divisions 2K Sports and 2K Play.    2K is a videogame publisher managing some of the most creative, respected and premium brands in games today.    Founded in 2005 within Take Two Interactive, 2K develops and publishes interactive entertainment for PC, console and mobile platforms.;{19839};2K Games;139;{7687, 10, 3083, 8714, 20, 21, 25, 538, 44571, 544, 546, 53285, 40, 50734, 9270, 59, 9275, 6205, 19516, 117315, 13915, 13916, 13917, 13923, 13924, 13925, 13926, 2152, 114793, 3179, 114285, 78451, 633, 21625, 21626, 41595, 41598, 4228, 76420, 95365, 5779, 20115, 26772, 5785, 53404, 5797, 10919, 27820, 27823, 22192, 3770, 19130, 37060, 27845, 3271, 3272, 9932, 5838, 14543, 27858, 14548, 108759, 19164, 113374, 11492, 96487, 5867, 110835, 244, 4853, 9460, 25339, 86268, 21758, 4870, 5894, 10502, 787, 6420, 20757, 95001, 2846, 293, 1318, 7975, 21289, 5932, 25907, 9021, 9022, 10047, 39760, 39761, 47440, 865, 866, 1377, 868, 53610, 47990, 894, 19839, 19335, 6032, 102805, 6038, 6046, 6062, 52159, 15819, 53731, 490, 498, 1011, 34293, 34294, 10743, 91128};2005-01-25 00:00:00
9;840;Lucasfilm Games was founded in May 1982 by George Lucas as Lucasfilm Games, the video game development group of his film company, Lucasfilm. Lucas initially served as the companys chairman.    During a 1990 reorganization of Lucas companies, the Lucasfilm Games division was renamed LucasArts.;{26005, 12950, 28717, 176, 178, 179, 12594, 182, 186, 60, 191, 192, 197, 198, 199, 200, 201, 204, 205, 208, 7517, 68835, 2280, 106};Lucasfilm Games;7424;{192, 195, 68835, 200, 201, 106, 2280, 204, 28717, 208, 178, 54649, 186, 60, 191};1982-05-01 00:00:00
10;840;With titles on consoles, PCs, and mobile devices, LucasArts endeavors to deliver experiences — whether it’s piloting a snowspeeder in the Battle of Hoth or slinging Jedi Birds at Sith Pigs — that are not possible in any other medium, and dazzle fans with stunning graphics, engaging storytelling, and fun gameplay.    Continually pushing the art form forward, LucasArts leverages the global skills, technology, and resources of its family of companies, in addition to strategic partnerships, to further the boundaries of gaming.;{74884, 74885, 137, 139, 140, 35596, 74895, 6160, 74896, 148, 149, 150, 151, 154, 155, 156, 157, 159, 160, 161, 162, 163, 164, 165, 112809, 73006, 175, 14386, 64562, 180, 181, 19637, 183, 184, 39351, 188, 61, 62, 63, 65, 66, 193, 194, 196, 17474, 17475, 17476, 27848, 202, 6606, 207, 75087, 4180, 4181, 475, 3932, 10843, 5599, 1386, 2162, 18044, 15101};LucasArts;13016;{18950, 18951, 6159, 6160, 78357, 23063, 85532, 62510, 64562, 61, 62, 63, 64, 65, 66, 4674, 14401, 17474, 17475, 17476, 20031, 5194, 4180, 4181, 4182, 10843, 6248, 114, 116, 42612, 118, 2681, 2682, 2683, 18044, 18046, 22655, 22656, 22657, 22658, 22659, 35968, 74884, 74885, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 3760, 177, 179, 180, 181, 182, 183, 184, 19637, 187, 188, 189, 190, 191, 6844, 193, 194, 196, 197, 198, 27848, 202, 203, 206, 207, 209, 210, 211, 15101, 35596, 2852, 74551, 4932, 19272, 11083, 39245, 75087, 75088, 6996, 21335, 3932, 67944, 1386, 8560, 33161, 11178, 44463, 76722, 39351, 6606, 475, 476, 19419, 5599, 74895, 74896};1990-12-31 00:00:00
11;840;EA’s corporate headquarters is based in Redwood Shores, California. It is home to two major EA development studios  Maxis, the developers of The Sims franchise and Visceral Games, the developers of the sci-fi horror franchise Dead Space. EA’s corporate headquarters is also the center of global publishing, marketing, HR and facilities initiatives.;{2656, 2689, 98, 6500, 37, 904, 1643, 1644, 1645, 3980, 5035, 5036, 5037, 2482, 11574, 11639, 2973, 575};EA Redwood Shores;1;;1998-12-31 00:00:00
12;;;{832, 876, 13, 14, 21584, 753, 84, 5621, 8829};Black Isle Studios;;{5, 6, 51818, 7505, 81, 82};1996-03-31 00:00:00
13;840;Demiurge Studios makes mobile, console, and PC games featuring deep systems and memorable characters. Try our hit mobile game, Marvel Puzzle Quest!  Creating games is our passion. Founded in 2002, we joined SEGA Networks’ family of studios in early 2015. We bring years of development expertise to our original projects, Shoot Many Robots, Marvel Puzzle Quest, and Puzzle &amp  Glory.   Based in Cambridge, MA, our developers have worked with partners around the globe on titles such as Bioshock, Borderlands, and Mass Effect.;{2694, 7084, 13105, 13781, 11643};Demiurge Studios;9723;;2002-12-31 00:00:00
14;826;Bullfrog Productions was a British developer. It was founded in 1987 by Les Edgar and Peter Molyneux. They were best known for their strategy god games such as Populous.  In January 1995, to strengthen its global positioning, Bullfrog Productions merged with long time publishing partner Electronic Arts. In August 1997, Bullfrog co-founder, Peter Molyneux, left to establish a new development team, Lionhead Productions (who, incidentally, has also signed a distribution deal with Electronic Arts). In September 1999, Les Edgar changed his role to consultant for Bullfrog Productions Limited, enabling him to pay more equitable attention to his other business interests. Edgar handed the reins to Bruce McMillan from Electronic Arts Canadian studio.  Following its purchase by EA, Bullfrog continued to work in its original offices in Guildford as an EA studio, and continued to display its own Bullfrog logo on the boxes of its games. In 2000, Electronic Arts merged its EA-UK offices, which had been in Langley near Slough, with the Bullfrog offices, into a new facility in Chertsey. Around August of that year the company decided to drop all further production of Bullfrog-branded products, and the former Bullfrog employees were put onto new projects such as the Harry Potter series. The last Bullfrog-branded game was Sim Theme Park (also known as Theme Park World and Theme Park 2), released in 1999.  A few compilations of older games that Bullfrog worked on have been published since, but to all intents and purposes the brand has been dead since the move to Chertsey in 2000.  Many Bullfrog developers left to found their own studios and these became Intrepid Computer Entertainment Ltd., Big Blue Box Studios Ltd. and Lionhead Studios. The latter eventually absorbed the first two and became the only studio to carry on the Bullfrog legacy.;{9226, 780, 12434, 5525, 283, 35, 36, 75301, 5423, 49, 50, 51, 8893, 8894, 4415, 12484, 12104, 1624, 19422, 10207, 355, 12278, 14455, 248};Bullfrog Productions;;{12434};1987-03-31 00:00:00
15;840;;{10343, 14543, 47440, 78451, 244, 21, 34294, 44571};2K Marin;8;;2007-03-31 00:00:00
17;124;Founded in 1993 by James Schmalz, Digital Extremes Ltd. proudly ranks as one of the worlds top development studios in the interactive entertainment industry. Headquartered in London Ontario, Canada’s 10th largest city, Digital Extremes got its foothold early on in the game industry during the shareware craze of the early 90s. Epic Pinball was a ten month project written entirely in assembly language by Schmalz that went on to become one of the most successful shareware games ever made, trailing only behind such industry greats as Duke3D, Doom and Wolfenstein 3D. Sequels such as Silverball and Extreme Pinball were released shortly thereafter and together they helped fund the creation of what would become one of the industry’s blockbuster franchises, Epic Games’ Unreal®.  Beginning in 1994, Digital Extremes partnered with Epic Games (at that time, its shareware publisher) and co-created Unreal and its counterpart Unreal Tournament. Both games set new standards for first-person action games and broke new ground in online multiplayer gaming. Tremendously rich graphics, fine-tuned gameplay, frenetic action and high quality production value are descriptions that have become synonymous with any Unreal branded game. To date, the award-winning Unreal franchise, including Unreal, Unreal Tournament and Unreal Championship has sold more than 12 million units worldwide across the PC, PlayStation®2, Xbox™ and Dreamcast™ platforms.  Digital Extremes completed development on its original IP for the current generation of consoles, Dark Sector®, which shipped to stores in 2008, using its proprietary next-gen technology, the Evolution Engine™. Following its success, the studio expanded to two teams to allow for simultaneous development on separate projects.  Digital Extremes completed work on the Multiplayer component of 2K Games’ blockbuster, Bioshock® 2 as well as the PC version of THQ hit, Homefront™.  The company also recently ventured into the mobile world with the release of Retro Pinball for Apple’s iOS platform, a throwback to the company’s roots.  More recently, Digital Extremes earned critical acclaim for the development of first-person action game, The Darkness® II, based on the comic book series of the same name.  In addition, the company assisted Microsoft with additional multiplayer content to Halo®4.  The studio is currently developing and publishing the Free-to-Play action game, Warframe;{544, 1888, 9179, 25160, 6220, 6959, 272, 273, 68335, 6228, 31189, 111285, 2903, 7549, 5979, 1885, 926, 927};Digital Extremes;;{68335, 55218, 111285, 31189, 2903};1993-12-31 00:00:00
18;156;Originally known as 2K Shanghai, later doing business as 2K China, it was created in 2006 to help with localization of 2K games and development of their own IP.  The studio had 2 subsidiary studios located in Hangzhou, created in 2007, and Chengdu, created in 2011.    It was shut down along with the cancellation of Borderlands Online, the China exclusive MMO they had been developing.    2K Hangzhou studio was closed along with 2K China.  2K Chengdu was retained and continues as a QA company for 2K games.;{21, 19335};2K China;8;;2006-05-09 00:00:00
19;250;;{78210, 103300, 103302, 103306, 533, 52899, 37030, 113598, 2369, 19531, 602, 14568, 14569, 51690, 14571, 14572, 11118, 625, 117748, 20863};Arkane Studios;245;{602};1999-03-31 00:00:00
20;;;{21};Darkside Game Studios;;;
21;840;;{117315, 51933, 720, 721, 41595, 20115, 20, 22, 538, 923, 316, 317, 41598, 10047};Irrational Games;139;;1997-03-31 00:00:00
23;826;We are a publishing company set up in 1996 with a mission to bring great games to the Mac. Since then, we have not only established ourselves as a world-leading publisher of Mac games but of Linux games as well.    We enjoy close relationships with developers and publishers such as 2K, SEGA, Square Enix, TT Games, Codemasters, Creative Assembly, Warner Bros. Interactive Entertainment and Io-Interactive.    We’re based in London, England, but we deliver our titles to gamers all over the world thanks to the marvel that is digital download.    One of our key aims is to have fun  we work with people we like, publish games that we enjoy and try not to be too corporate with our website. We hope you like our taste, but if there’s a game you’d like to see on the Mac or on Linux we’d love to hear from you.;{104248, 112674, 117274, 6415};Feral Interactive;;{15882, 9740, 18, 20, 1047, 117274, 2594, 2595, 112674, 43, 5165, 83512, 83513, 83514, 83515, 25660, 83516, 83517, 83518, 6212, 53832, 26185, 53833, 3149, 3150, 51799, 2138, 15459, 15460, 15464, 2159, 22650, 2682, 4222, 4223, 1164, 653, 4236, 4754, 82071, 24226, 82083, 82084, 82085, 82086, 679, 10919, 82087, 9898, 2738, 6836, 694, 6844, 82108, 82109, 82110, 15552, 15553, 15554, 15555, 12484, 82111, 101063, 9928, 726, 27355, 27356, 3811, 86268, 4867, 4869, 5894, 274, 28951, 110871, 1318, 81202, 15155, 308, 26423, 34620, 11069, 26948, 1373, 9059, 868, 4969, 1921, 81291, 81292, 81293, 81294, 81295, 24465, 7599, 432, 2995, 438, 440, 441, 442, 445, 446, 447, 6592, 1987, 81349, 3023, 466, 5586, 469, 470, 477, 498, 500, 501, 34293, 10743};1996-12-31 00:00:00
24;840;;{36288, 1927, 7723, 222, 8828, 29, 2910, 2911};Sierra Entertainment;;{519, 5640, 3081, 5139, 29, 9256, 7723, 1581, 1582, 1583, 1584, 5182, 1606, 1607, 1609, 6738, 8277, 70233, 8828, 126, 8319, 132, 133, 14486, 7322, 8346, 1190, 1191, 1196, 30391, 6331, 6332, 6333, 6359, 729, 51933, 222, 734, 735, 231, 232, 233, 1256, 5868, 749, 750, 751, 246, 7416, 250, 255, 23818, 21773, 19214, 5904, 11028, 792, 5913, 801, 803, 804, 805, 806, 3876, 297, 18219, 302, 6450, 820, 309, 311, 1336, 313, 314, 316, 317, 319, 835, 9542, 845, 7508, 7510, 7511, 7512, 2910, 2911, 2913, 5986, 871, 17255, 3946, 3952, 3954, 897, 1927, 1932, 1934, 28048, 922, 2972, 28062, 5023, 28064, 28065, 4004, 937, 4011, 941, 958, 456, 72137, 23017, 2030, 4091};1979-03-31 00:00:00
