id;games;name
1;{18950, 18951, 74901, 6159, 6160, 23063, 11289, 20004, 20005, 20006, 12842, 62510, 64562, 12858, 20031, 2113, 4674, 14401, 17474, 17475, 17476, 5194, 5706, 23116, 4180, 4181, 4182, 76886, 26201, 8799, 22626, 114, 74866, 116, 118, 2681, 2682, 19577, 18044, 18046, 22655, 22656, 22657, 22658, 22659, 17030, 137, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 13483, 19637, 6844, 190, 72396, 206, 210, 74963, 74964, 25304, 74976, 74979, 21739, 21743, 18161, 23293, 30979, 35596, 45334, 51486, 26401, 26404, 75559, 75560, 75561, 75562, 48939, 46892, 75564, 75565, 75566, 12594, 52877, 45379, 39751, 19272, 11083, 39245, 75085, 75086, 75087, 75088, 75089, 21335, 67944, 103273, 1386, 8560, 75120, 66424, 54649, 39822, 19869, 23976, 61864, 11178, 44463, 76721, 76722, 39351, 76730, 12732, 63429, 20937, 74700, 74701, 6606, 6607, 6608, 6609, 8147, 8148, 56979, 475, 476, 10203, 10204, 5599, 10205, 19419, 19429, 74895, 74896, 20470};Star Wars
2;{4932, 25862, 12156, 138, 22218, 10843, 183, 184, 185, 186, 187, 188, 189};Indiana Jones
3;{27652, 27653, 16999, 12009, 588, 9006, 270, 16402, 3862, 113208, 25820};Conan
4;{26625, 15913, 17463, 22909, 21054, 41839, 41052, 19865, 21628, 108156, 19080, 76430, 19600, 18068, 18069, 18070, 20655, 7356, 76160, 76163, 109276, 37087, 24288, 7398, 7399, 7400, 7413, 112885, 55034, 55035, 27410, 54550, 81206, 14144, 106819, 109461, 37193, 24400, 24405, 109465, 101214, 28002, 2406, 359, 2407, 2408, 22894, 22895, 22896, 9585, 22897, 22898, 22899, 22900, 22901, 22902, 22903, 22904, 14729, 22905, 22906, 22907, 22908, 383, 384, 385, 386, 387, 388, 389, 14723, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 2449, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 11169, 423, 75680, 425, 426, 427, 428, 37291, 24010, 11214, 36831, 113632, 19334, 19455};Final Fantasy
5;{7685, 4489, 7689, 3851, 18442, 43020, 10510, 45201, 112659, 14746, 4379, 15519, 41640, 15529, 10028, 19245, 42929, 2738, 6836, 51525, 21704, 79820, 14288, 14289, 2003, 7769, 26457, 7771, 5346, 4707, 20834, 22761, 5738, 5739, 5740, 19563, 12401, 1012, 500, 501, 3063, 3444, 19829, 5503};Batman
6;{111744, 257, 100354, 111745, 83844, 7045, 18310, 111746, 8713, 88461, 31633, 96402, 6293, 23579, 32667, 32668, 33186, 18980, 18086, 18726, 6058, 9389, 24113, 11450, 76731, 34620, 578, 34371, 17732, 30791, 7241, 17609, 30283, 31692, 32716, 7630, 9550, 465, 466, 467, 468, 469, 470, 26705, 29270, 30804, 32602, 26846, 6879, 7648, 12770, 11364, 12521, 4330, 30323, 76410, 86269};Warhammer 40,000
7;{3620, 11175, 8361, 555, 8015, 8016, 8017, 8018, 8019, 23676, 27995, 18361, 5242, 5243, 5244};Transformers
8;{8160, 8161, 8162, 6054, 12841, 3658, 4534, 566, 14552, 95033, 14555, 42942, 18815};Ghostbusters
9;{7360, 90689, 2114, 11171, 874, 908, 909, 910, 911, 14382, 28173, 562, 91311, 20573, 984, 77978, 1853};Tom Clancy
10;{6038, 293, 310, 19130, 9021, 9022, 52159, 3271, 3272, 15819, 10831, 8787, 863, 864, 865, 866, 867, 868, 869, 9197, 10743, 633, 634, 635};Sid Meier
