igdb_id;image_link
1;https://media.rawg.io/media/screenshots/826/826766def3f09275bbf57c5a27295b27.jpg
2;https://media.rawg.io/media/screenshots/523/52335876bbebc4e1b7c365c60b68b823.jpg
3;https://media.rawg.io/media/screenshots/e61/e61656fef12c29c1eba6ea54aca7757c.jpg
4;https://media.rawg.io/media/games/59a/59a3ebcba3d08c51532c6ca877aff256.jpg
5;https://media.rawg.io/media/games/c90/c90f6169765cf146f2e0aceb65324cbd.jpg
6;https://media.rawg.io/media/games/675/675d2673cc3e1a1d29805a1fd04c528b.jpg
7;https://media.rawg.io/media/screenshots/078/078629e997421ca28e9098bd7a87cb10.jpg
8;https://media.rawg.io/media/screenshots/189/18953e3b95307fc84611d35197c7a3cc.jpg
9;https://media.rawg.io/media/screenshots/0de/0defee61ebe38390fd3750b32213796d.jpg
10;https://media.rawg.io/media/games/1f0/1f0f1e699f80b56a44078317d5b08923.jpg
11;https://media.rawg.io/media/games/6f0/6f0a69db053bce957d8328a7253fbb29.jpg
12;https://media.rawg.io/media/games/299/299bbd6e2c355789b5fe094a415f7e15.jpg
13;https://media.rawg.io/media/games/14a/14a83c56ff668baaced6e8c8704b6391.jpg
14;https://media.rawg.io/media/games/218/218167ff4011acc825c844d0070940a0.jpg
15;https://media.rawg.io/media/games/5a4/5a4e70bb8a862829dbaa398aa5f66afc.jpg
16;https://media.rawg.io/media/games/995/9951d9d55323d08967640f7b9ab3e342.jpg
17;https://media.rawg.io/media/screenshots/b4a/b4affa5bf2e0e6f86bcfb2d1252ac4f3.jpg
18;https://media.rawg.io/media/games/2f5/2f5eb72fe45540e93ac2726877551a20.jpg
19;https://media.rawg.io/media/games/6fd/6fd971ffa72faa1758960d25ef6196bc.jpg
20;https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg
21;https://media.rawg.io/media/games/157/15742f2f67eacff546738e1ab5c19d20.jpg
22;https://media.rawg.io/media/games/65f/65f661f1487395055ba05e0a95fc0330.jpg
23;https://media.rawg.io/media/games/202/20253cf9a7bd4f3ddb26bf68cf9117ba.jpg
24;
25;https://media.rawg.io/media/screenshots/75c/75c109a3b66c84787f137d948292c44a_DIwNRKi.jpg
26;https://media.rawg.io/media/screenshots/56f/56fd482d5e916432d88c5b23a6b8a3b8.jpg
27;https://media.rawg.io/media/screenshots/277/277d4b377e73caa25179d07706a06480.jpg
