metacritic_id;image_link
0;https://media.rawg.io/media/games/3a0/3a0c8e9ed3a711c542218831b893a0fa.jpg
1;https://media.rawg.io/media/screenshots/c21/c2123c3dea40946f705a54772ed6238b.jpg
2;https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg
3;https://media.rawg.io/media/games/743/7430f1846ba6ce836f169d936c89819e.jpg
5;https://media.rawg.io/media/screenshots/49b/49ba12ace07949c2573795b255802195.jpg
6;https://media.rawg.io/media/screenshots/dfe/dfef7408aab11a742d1d1c6223682f9e.jpg
7;https://media.rawg.io/media/games/b11/b115b2bc6a5957a917bc7601f4abdda2.jpg
11;https://media.rawg.io/media/games/cc1/cc196a5ad763955d6532cdba236f730c.jpg
12;https://media.rawg.io/media/screenshots/e6c/e6ca3e0518b3d24562199eb48eb7c52e.jpg
13;https://media.rawg.io/media/games/f62/f62d090119e5ff05c59036480123fd83.jpg
15;https://media.rawg.io/media/games/221/2213b2c9aa37d87bbb0dc4f7b0e6c3e5.jpg
16;https://media.rawg.io/media/games/97d/97d403fd9da760192bcc2a061529f891.jpg
17;https://media.rawg.io/media/games/267/267bd0dbc496f52692487d07d014c061.jpg
18;https://media.rawg.io/media/games/abf/abffd94ed6fe34027c720bee593c06d2.jpg
19;https://media.rawg.io/media/screenshots/e9f/e9fec9933b304cfd718c4c5b391b2b12.jpg
20;https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg
23;https://media.rawg.io/media/games/bc0/bc06a29ceac58652b684deefe7d56099.jpg
24;https://media.rawg.io/media/games/5a1/5a145fe3002fc988140f7f00edcb9715.jpg
25;https://media.rawg.io/media/games/74b/74b239f6ef0216a2f66e652d54abb2e6.jpg
26;https://media.rawg.io/media/games/fee/fee0100afd87b52bfbd33e26689fa26c.jpg
27;https://media.rawg.io/media/screenshots/4f5/4f5ba4c03c5aea5d15b3067f894431cc.jpg
29;https://media.rawg.io/media/games/981/981da15cbfe7c1b96203bf9210b455f3.jpg
30;https://media.rawg.io/media/games/4aa/4aa1440932f4a12d9d0ea70a5e2164f6.jpg
31;https://media.rawg.io/media/games/3cf/3cff89996570cf29a10eb9cd967dcf73.jpg
32;https://media.rawg.io/media/games/d95/d950e5b8f44716cef0eee33f04b8cb54.jpg
33;https://media.rawg.io/media/games/148/1485f72434101885b098d4290bf0ba67.jpg
34;https://media.rawg.io/media/games/6c5/6c55e22185876626881b76c11922b073.jpg
36;https://media.rawg.io/media/screenshots/773/773e364ee0b3d0924ee9570cbcedc59a.jpg
37;https://media.rawg.io/media/screenshots/bcb/bcb977460712c1ac2c2026d30699130a.jpg
39;https://media.rawg.io/media/games/0f1/0f105a3d3ba6225269c4a08b43ecbb73.jpg
40;https://media.rawg.io/media/games/e66/e66d312550b4769f74228530f912267d.jpg
41;https://media.rawg.io/media/games/675/675d2673cc3e1a1d29805a1fd04c528b.jpg
42;https://media.rawg.io/media/games/1bb/1bb86c35ffa3eb0d299b01a7c65bf908.jpg
43;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg
44;https://media.rawg.io/media/games/c32/c32fd6c512c48b3e2f10686a6e06690d.jpg
45;
46;https://media.rawg.io/media/games/686/686909717c3aa01518bc42ae2bf4259e.jpg
47;https://media.rawg.io/media/screenshots/f4a/f4ab18046500fe45c5648ea456b1a5b4.jpg
48;https://media.rawg.io/media/games/0c9/0c98889aa28b7c27474be0156961bee2.jpg
49;https://media.rawg.io/media/screenshots/321/321d35cf08c62bc86efc8f7fa6d33bef.jpg
50;https://media.rawg.io/media/screenshots/19b/19b2867fa37100443f73312a9de80760.jpg
51;https://media.rawg.io/media/games/a26/a26df52a846d2f5b3e6d5f7bbe58ed28.jpg
53;https://media.rawg.io/media/screenshots/b3b/b3b1eb1a935bfb444377e177907648e0.jpg
55;https://media.rawg.io/media/games/364/3642d850efb217c58feab80b8affaa89.jpg
56;https://media.rawg.io/media/games/328/3283617cb7d75d67257fc58339188742.jpg
59;https://media.rawg.io/media/games/490/49016e06ae2103881ff6373248843069.jpg
61;https://media.rawg.io/media/games/d03/d030347839f74454afcd1008248b08ae.jpg
62;https://media.rawg.io/media/games/fc1/fc1307a2774506b5bd65d7e8424664a7.jpg
63;https://media.rawg.io/media/screenshots/e55/e55d3dfcd6064e796f4dca79879c2e76.jpg
64;https://media.rawg.io/media/games/9af/9af24c1886e2c7b52a4a2c65aa874638.jpg
65;https://media.rawg.io/media/screenshots/c39/c391b587cffb4e013d7854e03a03647c.jpg
66;https://media.rawg.io/media/games/c98/c980484ebd10882788fc5e8fbabefbef.jpg
67;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg
68;https://media.rawg.io/media/screenshots/bbf/bbf5d646dbd6fc11a723f67ee9c52156.jpg
69;https://media.rawg.io/media/games/1aa/1aa4ca34a8a6bb57a2e065c8332dc230.jpg
73;https://media.rawg.io/media/games/c91/c916af1fa182bc2d674b4d9270bb7713.jpg
74;https://media.rawg.io/media/screenshots/68a/68a2ff5767595c9abcc1aae3ee293daa.jpg
78;https://media.rawg.io/media/screenshots/543/5438fbc52f8aaee11f8a0b4eb3e7e255.jpg
79;https://media.rawg.io/media/games/988/98834d39955e7f15d3717fac438128aa.jpg
80;https://media.rawg.io/media/screenshots/81a/81a0bf6969da595635a8ebc16f907cd0.jpg
81;https://media.rawg.io/media/screenshots/1d0/1d05c811684f86d9b382814109385073.jpg
82;https://media.rawg.io/media/screenshots/f1f/f1f418ba6c1c5d6e83e21b511b65b6d6.jpg
85;https://media.rawg.io/media/games/acc/accac0d7c701fd9effaec3f3f004b3b1.jpg
86;https://media.rawg.io/media/screenshots/51f/51f5251163fc646e4f0230eb8eb7a795.jpg
88;https://media.rawg.io/media/games/0a2/0a2ee705109a6d8d94e28bef03f6d598.jpg
89;https://media.rawg.io/media/games/594/59487800889ebac294c7c2c070d02356.jpg
90;https://media.rawg.io/media/screenshots/3a6/3a674b1817d889fb917d5f3ea70e7f38.jpg
91;https://media.rawg.io/media/screenshots/d67/d6784c29ade22dcc21e5a2b9b77c258b.jpg
92;https://media.rawg.io/media/games/017/01778e235ab9478d18e8b53f855346a2.jpg
93;https://media.rawg.io/media/screenshots/a07/a07491535ca7c6e175c9c22299c786d6.jpg
94;https://media.rawg.io/media/screenshots/d4d/d4d473eaed307b16bdffcb44fc2a3019.jpg
95;https://media.rawg.io/media/games/364/3642f0c38a105c8750c4b48097effc15.jpg
96;https://media.rawg.io/media/games/923/923a5dd13b6e79dd23ab2d09934f0e8d.jpg
97;https://media.rawg.io/media/games/017/01778e235ab9478d18e8b53f855346a2.jpg
99;https://media.rawg.io/media/games/b27/b27eea9f8df280799b357b320f01211c.jpg
100;
102;https://media.rawg.io/media/games/6e0/6e0c19bb111bd4fa20cf0eb72a049519.jpg
103;https://media.rawg.io/media/screenshots/85c/85c91c5064d2cdd56a949c8008868318.jpg
105;
106;https://media.rawg.io/media/games/1d5/1d565b99cad46c44b534d9803e27bd49.jpg
107;https://media.rawg.io/media/games/088/088b41ca3f9d22163e43be07acf42304.jpg
109;https://media.rawg.io/media/screenshots/aa4/aa4ce0d45cb2cc7e4309d9ffa5287c50.jpg
110;https://media.rawg.io/media/games/2f0/2f0ff4de60621282d253a678944307b4.jpg
111;https://media.rawg.io/media/screenshots/98d/98dc5f038aa186b48aa16bbb858d276a.jpg
112;https://media.rawg.io/media/screenshots/c7e/c7e04b6a585944b37fe4d685065d9a7d.jpg
113;https://media.rawg.io/media/screenshots/47c/47ca545028407e6f4d4b2ffc6c839075.jpg
114;https://media.rawg.io/media/screenshots/7c9/7c9cc67546859e02d2d9cd815407b468.jpeg
115;https://media.rawg.io/media/screenshots/321/321da692849a96bf61ac07b28fd7d023.jpg
117;https://media.rawg.io/media/games/424/424facd40f4eb1f2794fe4b4bb28a277.jpg
118;https://media.rawg.io/media/screenshots/a2b/a2b719cf6b8970684e844f9d3da6ecec.jpg
120;https://media.rawg.io/media/games/a5a/a5abaa1b5cc1567b026fa3aa9fbd828e.jpg
121;https://media.rawg.io/media/games/615/615e9fc0a325e0d87b84dad029b8b7b9.jpg
122;https://media.rawg.io/media/games/0ef/0ef656cb91b6dc2382434000babc2725.jpg
123;https://media.rawg.io/media/screenshots/b8a/b8a664fc06a64a43b8ea4f121f794a48.jpg
124;https://media.rawg.io/media/screenshots/551/5517d11e6e99e36bbbbf084c774e56b7.jpg
126;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg
127;https://media.rawg.io/media/games/0df/0df4c2148306dc53963b3ad957bedc55.jpg
128;https://media.rawg.io/media/games/67c/67c09a79e569c0dfbfc132d520d72e7e.jpg
129;https://media.rawg.io/media/screenshots/e37/e3723166a34d6ec65ffacafd13ba844e.jpg
130;https://media.rawg.io/media/screenshots/eb5/eb5eb0275a816c054dd589515047d52e.jpg
132;https://media.rawg.io/media/screenshots/08e/08eb880c13df8fc750f62ddb57845a85.jpg
133;https://media.rawg.io/media/screenshots/ff8/ff8088234acae0fb0d01c82a6089c0c9.jpg
134;https://media.rawg.io/media/screenshots/e1b/e1b307a2e1bf3ccba313d100a21fc14a.jpg
136;https://media.rawg.io/media/games/5a4/5a4e70bb8a862829dbaa398aa5f66afc.jpg
137;https://media.rawg.io/media/games/3b6/3b66edb1a5d151f16ee0847a36dcc019.jpg
138;https://media.rawg.io/media/screenshots/570/570a6ed91febd5f3ffc889368e13a46e.jpg
139;
140;https://media.rawg.io/media/screenshots/e9f/e9fec9933b304cfd718c4c5b391b2b12.jpg
141;https://media.rawg.io/media/games/315/3156817d3ac1f341da73de6495fb28f5.jpg
143;https://media.rawg.io/media/screenshots/364/364f0ded6708b2bf21cf83f5eb1ed5fa.jpg
144;https://media.rawg.io/media/screenshots/4ec/4ec60bc969276e171289e2ea9d27d22f.jpg
145;https://media.rawg.io/media/screenshots/4c7/4c7346d0d4a07dcad8eb14f683f72cbc.jpg
146;https://media.rawg.io/media/screenshots/1b2/1b25b3e51320de1c3e807e25cf9f553d.jpg
147;https://media.rawg.io/media/screenshots/c9d/c9d6581e0e3f8d7a24d06e671be88e3f.jpg
148;https://media.rawg.io/media/screenshots/cb1/cb1932fd24f3880e8e7e0cfdc656fd68.jpg
149;https://media.rawg.io/media/screenshots/428/428312c0e8bf61f97d22e028dd2d2115.jpg
150;https://media.rawg.io/media/games/45d/45da4dc311d84b79230317d7b24a3dec.jpg
152;https://media.rawg.io/media/screenshots/d97/d971d1556e75cc189af75f28c3394897.jpg
153;https://media.rawg.io/media/games/0ea/0ea05d4703f3af63a570471fbad79d40.jpg
156;https://media.rawg.io/media/screenshots/062/0622bec29ae3ef0e8762a9c9f3e7b0f4.jpg
157;https://media.rawg.io/media/screenshots/2ea/2ea7fac69feb2b6562a041e5e59ff8c3.jpg
159;https://media.rawg.io/media/games/d5a/d5a24f9f71315427fa6e966fdd98dfa6.jpg
160;https://media.rawg.io/media/games/1dc/1dca31934274ae06195b71cafe56f375.jpg
162;https://media.rawg.io/media/screenshots/958/95841b1ac7f14d6d1fe24c9f054c47e1.jpg
163;
164;
167;https://media.rawg.io/media/games/99b/99b39612e864d6ddfdb2c407fd9010a1.jpg
169;https://media.rawg.io/media/games/cd2/cd2a1a360839002bceadc5a8b3c7dbf7.jpg
170;https://media.rawg.io/media/games/289/289951d92239d05f2a663d632aa3888a.jpg
172;https://media.rawg.io/media/games/166/166482ac85c7ea5babdcc1c4e06d7803.jpg
173;https://media.rawg.io/media/screenshots/295/295c6c59fe271f8a0fd5a025f20a3152.jpg
174;https://media.rawg.io/media/screenshots/85d/85dda333a1d379def7924f6651cd7d33.jpg
176;https://media.rawg.io/media/games/589/589fc47c5ae34160d65c4682e21fed66.jpg
177;https://media.rawg.io/media/screenshots/592/5923a46e97752379c39c4a8a391feedc.jpg
178;https://media.rawg.io/media/games/baf/baf9905270314e07e6850cffdb51df41.jpg
179;https://media.rawg.io/media/games/238/238ff9c62fcc94f152a7d4b612907c43.jpg
180;https://media.rawg.io/media/screenshots/e21/e215d37a773be35ddda535490ccce1c0.jpg
181;https://media.rawg.io/media/games/667/667b4447a90c4896bfd48400ae76af28.jpg
183;https://media.rawg.io/media/screenshots/56c/56c15350ba75b6576a8ee276ca92f508.jpg
184;https://media.rawg.io/media/screenshots/e4c/e4c9fe1fb9c4f99d87cc641465f4ec99.jpg
185;https://media.rawg.io/media/screenshots/dd7/dd7f21a6294ae75ea211752af6987944.jpg
186;https://media.rawg.io/media/screenshots/da9/da9c25e55376c77db9cc13bd9218925d.jpg
187;https://media.rawg.io/media/games/ae9/ae9e6138ec47798de07b158a36dadd19.jpeg
190;https://media.rawg.io/media/screenshots/fcd/fcd5c38a0f2b3778745efd00d72d0b10.jpg
192;https://media.rawg.io/media/games/bdf/bdfb7a864a840aa5ead6cbd58e786b26.jpg
193;https://media.rawg.io/media/screenshots/547/5472c5ddf69f227f322bb1e5eb33d9ef.jpg
194;https://media.rawg.io/media/games/34e/34e100b1f648de99f32d477065f04653.jpg
195;https://media.rawg.io/media/games/8e0/8e032ac4faf1136e7d708bb3ac61af23.jpg
196;https://media.rawg.io/media/games/65f/65f661f1487395055ba05e0a95fc0330.jpg
197;https://media.rawg.io/media/screenshots/d4d/d4d473eaed307b16bdffcb44fc2a3019.jpg
198;https://media.rawg.io/media/games/ced/ced839e45016b23215e1f4e462204d6b.jpg
199;https://media.rawg.io/media/games/ffe/ffed87105b14f5beff72ff44a7793fd5.jpg
202;https://media.rawg.io/media/screenshots/d52/d52dbae7a35aec43662791edc79d02f1.jpg
203;https://media.rawg.io/media/screenshots/e9f/e9fec9933b304cfd718c4c5b391b2b12.jpg
204;https://media.rawg.io/media/screenshots/2d5/2d51296133a91f1e5ef9eec5aa029fd8.jpg
206;https://media.rawg.io/media/games/f81/f8183aef726b537c76a60c4cddf2811e.jpg
207;https://media.rawg.io/media/games/283/28305d39eacde0458b87e30a467e5d8d.jpg
208;https://media.rawg.io/media/screenshots/284/2844d42452baa9445769ff2860380918.jpg
210;https://media.rawg.io/media/games/d56/d564ee964eb3c17892b3b35dd607f836.jpg
211;https://media.rawg.io/media/screenshots/04b/04b7fd791867fa25858f6dc7a2cccb9a.jpg
214;https://media.rawg.io/media/screenshots/fd2/fd22fcd8470c96a6cf30051c3d249a6b.jpg
215;https://media.rawg.io/media/screenshots/523/52335876bbebc4e1b7c365c60b68b823.jpg
216;https://media.rawg.io/media/screenshots/db6/db64d580e0ef28e92a109709e4884b5f.jpg
217;https://media.rawg.io/media/screenshots/e90/e90a4f0b878b0206888a56c4155705c8.jpg
218;https://media.rawg.io/media/screenshots/15d/15d33418d80c34ef6785eb0dcefac6e8.jpg
220;https://media.rawg.io/media/games/8d6/8d69eb6c32ed6acfd75f82d532144993.jpg
221;https://media.rawg.io/media/games/170/1702bf5987db540e465dbd3c302eaa69.jpg
222;https://media.rawg.io/media/screenshots/106/106678630cda8df5ec76864790e07051.jpg
223;https://media.rawg.io/media/screenshots/73c/73c9c25fb4eac53f51fb7e7a19392bbb.jpg
224;https://media.rawg.io/media/screenshots/752/752ef48ea82c5fb6223df1719640d192.jpg
225;
227;https://media.rawg.io/media/games/800/800d07ca648a9778a8230f40088e0866.jpg
228;https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg
230;https://media.rawg.io/media/games/ae4/ae404f4e0f504131199703c09111bb78.jpg
231;https://media.rawg.io/media/games/3d7/3d7c8e749b18cfc898c80016594981fe.jpg
233;https://media.rawg.io/media/screenshots/5ad/5ad4f07b3aa8a23f64378f0da28930b8.jpg
234;https://media.rawg.io/media/screenshots/621/62111bd8918fb3f55898954171432dc7.jpg
